Industry,Empl,Avg Ann Wages
Health Care and Social Assistance,"17,887","$66,649"
Retail Trade,"10,534","$38,765"
Accommodation and Food Services,"8,321","$22,269"
Educational Services,"7,109","$49,916"
Manufacturing,"6,961","$68,815"
Finance and Insurance,"5,018","$77,472"
Administrative and Support and Waste Management and Remediation Services,"4,674","$42,227"
Other Services (except Public Administration),"3,975","$33,856"
Transportation and Warehousing,"3,893","$55,513"
Public Administration,"3,733","$60,881"
Construction,"2,909","$72,728"
"Professional, Scientific, and Technical Services","2,867","$82,134"
Wholesale Trade,"2,534","$75,058"
Management of Companies and Enterprises,"1,395","$88,390"
Real Estate and Rental and Leasing,"1,087","$59,759"
"Arts, Entertainment, and Recreation","1,035","$23,404"
Information,487,"$74,005"
Utilities,206,"$98,068"
"Agriculture, Forestry, Fishing and Hunting",169,"$53,144"
"Mining, Quarrying, and Oil and Gas Extraction",164,"$79,187"
Unclassified,130,"$53,745"
Total - All Industries,"85,088","$55,410"
